"Rewards Point","Rewards Point"
"General","General"
"Enable","Enable"
"Redeem threshold","Redeem threshold"
"Maximum threshold","Maximum threshold"
"Expire day","Expire day"
"Earning points","Earning points"
"Allow earn points from tax","Allow earn points from tax"
"Allow earn points from shipping fee","Allow earn points from shipping fee"
"Allow earn points from order paid by points","Allow earn points from order paid by points"
"Maximum number of points can earn per order","Maximum number of points can earn per order"
"Maximum number of points can earn per review","Maximum number of points can earn per review"
"Auto refund order to points balance","Auto refund order to points balance"
"Spending points","Spending points"
"Maximum number of points can spend per order","Maximum number of points can spend per order"
"Allow spend points for tax","Allow spend points for tax"
"Allow spend points for shipping fee","Allow spend points for shipping fee"
"Restore spent points after order refunded","Restore spent points after order refunded"
"Frontend points showing","Frontend points showing"
"Point icon","Point icon"
"Show points balance in header","Show points balance in header"
"Points message in create account page","Points message in create account page"
"Points message with subscrible newsletters block","Points message with subscrible newsletters block"
"Cart and order summary","Cart and order summary"
"Points message in product page - review tab and review summary","Points message in product page - review tab and review summary"
"Points message in category page - product reward points","Points message in category page - product reward points"
"Use points with slider","Use points with slider"
"Email notification","Email notification"
"Email sender","Email sender"
"Balance Update Email","Balance Update Email"
"Reward Points Expiry Warning Email","Reward Points Expiry Warning Email"
"Expiry Warning Before (days)","Expiry Warning Before (days)"
"Subscribe customer by default","Subscribe customer by default"
"Balance infomation","Balance infomation"
"Points balance","Points balance"
"Points spent","Points spent"
"Points earned","Points earned"
"Exchange rate","Exchange rate"
"%1 point(s) can be redeemed for %2","%1 point(s) can be redeemed for %2"
"Transactions","Transactions"
"View All","View All"
"Recent Transactions","Recent Transactions"
"Point","Point"
"Note","Note"
"Created by","Created by"
"Transaction type","Transaction type"
"Transaction date","Transaction date"
"Action","Action"
"You have placed no transactions.","You have placed no transactions."
"View","View"
"Notification","Notification"
"Email notify for balance updated","Email notify for balance updated"
"Email notify for expiration points","Email notify for expiration points"
"Save notify","Save notify"
"Save","Save"
"This exchange rate no longer exists.","This exchange rate no longer exists."
"You saved the exchange rate.","You saved the exchange rate."
"Something went wrong while saving the exchange rate.","Something went wrong while saving the exchange rate."
"The exchange rate has been deleted.","The exchange rate has been deleted."
"We can't find a page to delete.","We can't find a page to delete."
"Transaction type","Transaction type"
"Transaction date","Transaction date"
"Rate Information","Rate Information"
"Rules","Rules"
"Recent Transactions","Recent Transactions"
"Import Product Transactions:","Import Product Transactions:"
"Check Data","Check Data"
"Download Sample File","Download Sample File"
"Export Transactions:","Export Transactions:"
"Export Transactions","Export Transactions"
"Apply Reward","Apply Reward"
"Your Reward Point:","Your Reward Point:"
"%1 point(s) can be redeemed for ","%1 point(s) can be redeemed for "
"Enter Value","Enter Value"
"You have %1 points","You have %1 points"
"Day","Day"
"Month","Month"
"Year","Year"
"Earning Rules","Earning Rules"
"Add New Rule","Add New Rule"
"Add new cart rule","Add new cart rule"
"Add new custom rule","Add new custom rule"
"Save Rate","Save Rate"
"Save and Continue Edit","Save and Continue Edit"
"Edit Rate '%1'","Edit Rate '%1'"
"New Rate","New Rate"
"Rate Information","Rate Information"
"General Information","General Information"
"Website","Website"
"Customer Group","Customer Group"
"Status","Status"
"Base Currency Code","Base Currency Code"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save Rule","Save Rule"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rate Information","Rate Information"
"Rules","Rules"
"Conditions","Conditions"
"Apply the rule only if the following conditions are met.","Apply the rule only if the following conditions are met."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No rounding","No rounding"
"Rounding up","Rounding up"
"Rounding down","Rounding down"
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Store View Specific Notes","Store View Specific Notes"
"Note for All Store Views","Note for All Store Views"
"Rule Information","Rule Information"
"General Information","General Information"
"Rule Name","Rule Name"
"From","From"
"To","To"
"Websites","Websites"
"Customer Groups","Customer Groups"
"Priority","Priority"
"Manage Exchange rates","Manage Exchange rates"
"This exchange rate no longer exists.","This exchange rate no longer exists."
"New Exchange rates","New Exchange rates"
"Manage Earning Rules","Manage Earning Rules"
"Update reward points","Update reward points"
"File is valid. Please click import button","File is valid. Please click import button"
"File has been successfully uploaded in var/import/transactions","File has been successfully uploaded in var/import/transactions"
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M."
"We can't provide the upload settings right now.","We can't provide the upload settings right now."
"Wrong website code in row(s): ","Wrong website code in row(s): "
"Customer Id not exist in row(s): ","Customer Id not exist in row(s): "
"Wrong date format in row(s)","Wrong date format in row(s)"
"There is no sample file for this entity.","There is no sample file for this entity."
"Successfully","Successfully"
"Something went wrong. Please enter a value again","Something went wrong. Please enter a value again"
"You can't use more reward point than you have","You can't use more reward point than you have"
"You can't use more reward point than the order amount.","You can't use more reward point than the order amount.."
"You can't use more reward point than the order amount.","You can't use more reward point than the order amount."
"Buy this product to earn %1 points","Buy this product to earn %1 points"
"Something went wrong while saving the transaction reward points.","Something went wrong while saving the transaction reward points."
"You have earned %1 points!","You have earned %1 points!"
"%1 points for first order. Congrats!","%1 points for first order. Congrats!"
"You received %1 for sign up for newsletter","You received %1 for sign up for newsletter"
"Invalid Date format.","Invalid Date format."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Please specify a website."
"Please specify Customer Groups.","Please specify Customer Groups."
"Conditions Combination","Conditions Combination"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Open Chooser","Open Chooser"
"Email","Email"
"Admin change","Admin change"
"Registration","Registration"
"Birthday","Birthday"
"First Review","First Review"
"Review","Review"
"First Order","First Order"
"Order","Order"
"Order Refund","Order Refund"
"Import","Import"
"Subscrible newsletters","Subscrible newsletters"
"No Point","No Point"
"Fix amount","Fix amount"
"ALL WEBSITES","ALL WEBSITES"
"ALL GROUPS","ALL GROUPS"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Customer","Customer"
"Spend Point","Spend Point"
"%1 point(s) can be redeemed for %2","%1 point(s) can be redeemed for %2"
"Successfully!","Successfully!"
"Something went wrong. Please enter a value again","Something went wrong. Please enter a value again"
"You can't use more reward point than you have","You can't use more reward point than you have"
"You can't use more reward point than the order amount.","You can't use more reward point than the order amount."
"You can't use more reward point than the order amount.","You can't use more reward point than the order amount."
"Submit Review","Submit Review"
"Something went wrong while saving the reward points.","Something went wrong while saving the reward points."
"Something went wrong while saving the notification.","Something went wrong while saving the notification."
"Please enter a number greater than 0 in field attribute "Number Point".","Please enter a number greater than 0 in field attribute "Number Point"."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
